bin_center,count
1003.0004735745406,1
1013.0014207236219,0
1023.0023678727032,0
1033.0033150217844,0
1043.0042621708658,0
1053.005209319947,0
1063.0061564690282,0
1073.0071036181093,0
1083.0080507671908,0
1093.0089979162722,0
1103.0099450653533,1
1113.0108922144345,0
1123.0118393635157,1
1133.0127865125971,0
1143.0137336616783,0
1153.0146808107597,0
1163.015627959841,1
1173.016575108922,2
1183.0175222580033,2
1193.0184694070847,0
1203.0194165561659,2
1213.0203637052473,1
1223.0213108543285,2
1233.0222580034097,2
1243.0232051524908,0
1253.0241523015723,0
1263.0250994506537,3
1273.0260465997349,3
1283.026993748816,2
1293.0279408978972,5
1303.0288880469784,2
1313.0298351960598,1
1323.0307823451412,2
1333.0317294942224,3
1343.0326766433036,4
1353.0336237923848,4
1363.0345709414662,4
1373.0355180905474,7
1383.0364652396288,7
1393.03741238871,1
1403.0383595377912,3
1413.0393066868724,4
1423.0402538359538,5
1433.0412009850352,7
1443.0421481341164,4
1453.0430952831975,4
1463.0440424322787,6
1473.04498958136,6
1483.0459367304413,10
1493.0468838795227,7
1503.047831028604,4
1513.048778177685,6
1523.0497253267663,6
1533.0506724758475,6
1543.0516196249291,10
1553.0525667740103,8
1563.0535139230915,6
1573.0544610721727,8
1583.0554082212539,8
1593.056355370335,7
1603.0573025194167,8
1613.0582496684979,16
1623.059196817579,11
1633.0601439666602,11
1643.0610911157414,10
1653.0620382648228,7
1663.0629854139042,11
1673.0639325629854,7
1683.0648797120666,9
1693.0658268611478,10
1703.066774010229,13
1713.0677211593106,9
1723.0686683083918,4
1733.069615457473,15
1743.0705626065542,11
1753.0715097556354,9
1763.0724569047165,9
1773.0734040537982,10
1783.0743512028794,13
1793.0752983519606,10
1803.0762455010417,16
1813.077192650123,6
1823.0781397992043,16
1833.0790869482857,12
1843.080034097367,15
1853.0809812464481,9
1863.0819283955293,16
1873.0828755446105,7
1883.0838226936921,11
1893.0847698427733,17
1903.0857169918545,14
1913.0866641409357,13
1923.0876112900169,12
1933.088558439098,12
1943.0895055881797,11
1953.0904527372609,17
1963.091399886342,13
1973.0923470354232,14
1983.0932941845044,9
1993.0942413335858,13
2003.0951884826673,16
2013.0961356317484,12
2023.0970827808296,20
2033.0980299299108,14
2043.098977078992,16
2053.099924228073,15
2063.1008713771544,19
2073.101818526236,14
2083.102765675317,15
2093.103712824399,15
2103.10465997348,13
2113.105607122561,10
2123.1065542716424,11
2133.1075014207236,14
2143.1084485698048,22
2153.109395718886,13
2163.110342867967,12
2173.1112900170483,10
2183.1122371661295,24
2193.113184315211,15
2203.1141314642928,14
2213.115078613374,9
2223.116025762455,5
2233.1169729115363,13
2243.1179200606175,14
2253.1188672096987,12
2263.11981435878,13
2273.120761507861,14
2283.1217086569422,10
2293.1226558060234,18
2303.123602955105,17
2313.1245501041863,16
2323.125497253268,7
2333.126444402349,10
2343.1273915514303,10
2353.1283387005114,8
2363.1292858495926,14
2373.130232998674,15
2383.131180147755,17
2393.132127296836,12
2403.1330744459174,12
2413.134021594999,20
2423.13496874408,11
2433.135915893162,19
2443.136863042243,9
2453.137810191324,19
2463.1387573404054,14
2473.1397044894866,12
2483.1406516385678,16
2493.141598787649,18
2503.14254593673,7
2513.1434930858113,16
2523.1444402348925,11
2533.145387383974,13
2543.1463345330553,18
2553.147281682137,19
2563.148228831218,13
2573.1491759802993,19
2583.1501231293805,16
2593.1510702784617,14
2603.152017427543,10
2613.152964576624,8
2623.1539117257053,14
2633.1548588747864,17
2643.155806023868,9
2653.1567531729493,16
2663.157700322031,19
2673.158647471112,13
2683.1595946201933,12
2693.1605417692745,19
2703.1614889183556,12
2713.162436067437,15
2723.163383216518,16
2733.164330365599,8
2743.1652775146804,13
2753.166224663762,22
2763.167171812843,7
2773.168118961925,11
2783.169066111006,16
2793.170013260087,17
2803.1709604091684,11
2813.1719075582496,5
2823.1728547073308,14
2833.173801856412,11
2843.174749005493,12
2853.1756961545743,9
2863.1766433036555,14
2873.177590452737,19
2883.1785376018183,12
2893.1794847509,14
2903.180431899981,5
2913.1813790490623,14
2923.1823261981435,12
2933.1832733472247,13
2943.184220496306,13
2953.185167645387,15
2963.1861147944683,12
2973.1870619435495,15
2983.188009092631,12
2993.1889562417123,15
3003.189903390794,10
3013.190850539875,14
3023.1917976889563,8
3033.1927448380375,10
3043.1936919871187,12
3053.1946391362,10
3063.195586285281,13
3073.196533434362,12
3083.197480583444,18
3093.198427732525,17
3103.199374881606,17
3113.2003220306874,7
3123.2012691797686,14
3133.20221632885,5
3143.2031634779314,10
3153.2041106270126,16
3163.205057776094,17
3173.206004925175,13
3183.206952074256,14
3193.2078992233373,10
3203.208846372419,14
3213.2097935215,9
3223.2107406705813,9
3233.2116878196625,17
3243.212634968744,15
3253.2135821178254,12
3263.2145292669065,11
3273.2154764159877,14
3283.216423565069,14
3293.21737071415,13
3303.2183178632313,20
3313.219265012313,10
3323.220212161394,15
