bin_center,count
1272.0003173092177,1
1282.0009519276537,0
1292.0015865460891,0
1302.0022211645248,0
1312.0028557829605,0
1322.003490401396,0
1332.004125019832,1
1342.0047596382674,0
1352.0053942567033,0
1362.0060288751388,0
1372.0066634935745,0
1382.0072981120102,0
1392.0079327304456,1
1402.0085673488816,0
1412.009201967317,1
1422.009836585753,1
1432.0104712041884,0
1442.0111058226244,0
1452.0117404410598,0
1462.0123750594953,1
1472.0130096779312,0
1482.0136442963667,0
1492.0142789148026,1
1502.014913533238,1
1512.015548151674,1
1522.0161827701095,0
1532.016817388545,0
1542.0174520069809,0
1552.0180866254163,0
1562.0187212438523,1
1572.0193558622877,3
1582.0199904807237,0
1592.0206250991591,0
1602.0212597175946,1
1612.0218943360305,0
1622.022528954466,0
1632.023163572902,1
1642.0237981913374,0
1652.0244328097733,0
1662.0250674282088,2
1672.0257020466443,1
1682.0263366650802,2
1692.0269712835156,0
1702.0276059019516,3
1712.028240520387,1
1722.028875138823,2
1732.0295097572584,0
1742.030144375694,2
1752.0307789941298,2
1762.0314136125653,2
1772.0320482310012,3
1782.0326828494367,0
1792.0333174678724,4
1802.033952086308,2
1812.0345867047438,0
1822.0352213231795,4
1832.035855941615,5
1842.0364905600509,1
1852.0371251784863,2
1862.037759796922,1
1872.0383944153577,0
1882.0390290337934,1
1892.0396636522291,1
1902.0402982706646,5
1912.0409328891005,4
1922.041567507536,1
1932.0422021259717,2
1942.0428367444074,2
1952.043471362843,2
1962.0441059812788,2
1972.0447405997143,1
1982.0453752181502,1
1992.0460098365857,2
2002.0466444550214,2
2012.047279073457,2
2022.0479136918927,3
2032.0485483103284,0
2042.049182928764,1
2052.0498175472,1
2062.0504521656353,1
2072.0510867840712,2
2082.0517214025067,1
2092.052356020942,1
2102.052990639378,2
2112.0536252578136,3
2122.0542598762495,3
2132.054894494685,1
2142.055529113121,1
2152.0561637315564,2
2162.0567983499923,1
2172.0574329684277,4
2182.058067586863,1
2192.058702205299,4
2202.0593368237346,2
2212.0599714421705,2
2222.060606060606,3
2232.0612406790415,1
2242.0618752974774,2
2252.062509915913,1
2262.063144534349,3
2272.0637791527843,0
2282.06441377122,4
2292.0650483896557,2
2302.065683008091,1
2312.066317626527,2
2322.0669522449625,0
2332.0675868633984,3
2342.068221481834,0
2352.06885610027,0
2362.0694907187053,3
2372.0701253371412,0
2382.0707599555767,2
2392.071394574012,2
2402.072029192448,2
2412.0726638108836,0
2422.0732984293195,5
2432.073933047755,4
2442.0745676661904,2
2452.0752022846264,1
2462.075836903062,1
2472.0764715214978,2
2482.077106139933,5
2492.077740758369,1
2502.0783753768046,0
2512.0790099952405,3
2522.079644613676,6
2532.0802792321115,1
2542.0809138505474,0
2552.081548468983,2
2562.082183087419,2
2572.0828177058543,5
2582.0834523242897,1
2592.0840869427257,1
2602.084721561161,3
2612.085356179597,3
2622.0859907980325,2
2632.0866254164685,2
2642.087260034904,0
2652.08789465334,3
2662.0885292717753,3
2672.089163890211,1
2682.0897985086467,0
2692.090433127082,2
2702.091067745518,0
2712.0917023639536,1
2722.092336982389,0
2732.092971600825,0
2742.0936062192604,3
2752.0942408376964,2
2762.094875456132,1
2772.0955100745678,1
2782.096144693003,1
2792.096779311439,3
2802.0974139298746,1
2812.09804854831,1
2822.098683166746,1
2832.0993177851815,0
2842.0999524036174,2
2852.100587022053,0
2862.101221640489,0
2872.1018562589243,0
2882.1024908773597,2
2892.1031254957957,2
2902.103760114231,1
2912.104394732667,3
2922.1050293511025,2
2932.1056639695385,2
2942.106298587974,1
2952.1069332064094,0
2962.1075678248453,1
