bin_center,count
39.0,1
49.0,0
59.0,0
69.0,0
79.0,0
89.0,0
99.0,0
109.0,0
119.0,0
129.0,0
139.0,0
149.0,0
159.0,0
169.0,0
179.0,0
189.0,0
199.0,0
209.0,0
219.0,0
229.0,0
239.0,0
249.0,0
259.0,1
269.0,0
279.0,0
289.0,0
299.0,0
309.0,0
319.0,0
329.0,0
339.0,0
349.0,0
359.0,1
369.0,0
379.0,0
389.0,0
399.0,0
409.0,0
419.0,0
429.0,0
439.0,0
449.0,0
459.0,0
469.0,0
479.0,0
489.0,0
499.0,0
509.0,0
519.0,0
529.0,0
539.0,0
549.0,0
559.0,0
569.0,0
579.0,0
589.0,0
599.0,0
609.0,1
619.0,0
629.0,0
639.0,0
649.0,0
659.0,0
669.0,0
679.0,0
689.0,0
699.0,0
709.0,0
719.0,0
729.0,0
739.0,0
749.0,1
759.0,1
769.0,1
779.0,0
789.0,0
799.0,0
809.0,0
819.0,0
829.0,1
839.0,0
849.0,0
859.0,0
869.0,0
879.0,0
889.0,0
899.0,0
909.0,0
919.0,0
929.0,0
939.0,0
949.0,0
959.0,0
969.0,1
979.0,0
989.0,0
999.0,0
1009.0,0
1019.0,0
1029.0,0
1039.0,0
1049.0,1
1059.0,0
1069.0,0
1079.0,0
1089.0,0
1099.0,1
1109.0,0
1119.0,0
1129.0,0
1139.0,0
1149.0,0
1159.0,0
1169.0,0
1179.0,0
1189.0,1
1199.0,0
1209.0,0
1219.0,0
1229.0,0
1239.0,0
1249.0,0
1259.0,0
1269.0,0
1279.0,0
1289.0,0
1299.0,0
1309.0,0
1319.0,0
1329.0,1
1339.0,0
1349.0,0
1359.0,1
1369.0,1
1379.0,3
1389.0,0
1399.0,0
1409.0,0
1419.0,0
1429.0,1
1439.0,2
1449.0,0
1459.0,1
1469.0,1
1479.0,1
1489.0,0
1499.0,1
1509.0,1
1519.0,1
1529.0,2
1539.0,0
1549.0,0
1559.0,2
1569.0,2
1579.0,0
1589.0,1
1599.0,1
1609.0,1
1619.0,1
1629.0,2
1639.0,0
1649.0,0
1659.0,2
1669.0,1
1679.0,1
1689.0,2
1699.0,2
1709.0,1
1719.0,1
1729.0,6
1739.0,1
1749.0,0
1759.0,0
1769.0,2
1779.0,1
1789.0,2
1799.0,1
1809.0,1
1819.0,2
1829.0,2
1839.0,2
1849.0,4
1859.0,1
1869.0,4
1879.0,4
1889.0,2
1899.0,2
1909.0,0
1919.0,0
1929.0,3
1939.0,2
1949.0,1
1959.0,4
1969.0,1
1979.0,4
1989.0,1
1999.0,5
2009.0,4
2019.0,1
2029.0,2
2039.0,5
2049.0,1
2059.0,0
2069.0,4
2079.0,2
2089.0,4
2099.0,2
2109.0,1
2119.0,0
2129.0,2
2139.0,1
2149.0,1
2159.0,1
2169.0,1
2179.0,2
2189.0,0
2199.0,2
2209.0,4
2219.0,1
2229.0,2
2239.0,3
2249.0,2
2259.0,3
2269.0,0
2279.0,2
2289.0,2
2299.0,3
2309.0,1
2319.0,0
2329.0,0
2339.0,0
2349.0,2
2359.0,2
2369.0,1
2379.0,1
2389.0,4
2399.0,3
2409.0,3
2419.0,1
2429.0,2
2439.0,5
2449.0,1
2459.0,3
2469.0,2
2479.0,2
2489.0,3
2499.0,5
2509.0,4
2519.0,2
2529.0,3
2539.0,3
2549.0,2
2559.0,1
2569.0,1
2579.0,0
2589.0,1
2599.0,4
2609.0,2
2619.0,2
2629.0,4
2639.0,1
2649.0,2
2659.0,4
2669.0,2
2679.0,0
2689.0,3
2699.0,1
2709.0,0
2719.0,2
2729.0,1
2739.0,2
2749.0,3
2759.0,1
2769.0,0
2779.0,4
2789.0,1
2799.0,3
2809.0,4
2819.0,2
2829.0,1
2839.0,4
2849.0,1
2859.0,2
2869.0,1
2879.0,0
2889.0,5
2899.0,1
2909.0,1
2919.0,3
2929.0,3
2939.0,2
2949.0,3
2959.0,1
2969.0,1
2979.0,8
2989.0,2
2999.0,2
3009.0,5
3019.0,5
3029.0,5
3039.0,3
3049.0,3
3059.0,1
3069.0,3
3079.0,2
3089.0,3
3099.0,1
3109.0,2
3119.0,1
3129.0,4
3139.0,2
3149.0,4
3159.0,1
3169.0,1
3179.0,3
3189.0,2
3199.0,2
3209.0,0
3219.0,2
3229.0,1
3239.0,3
3249.0,1
3259.0,1
3269.0,2
3279.0,1
3289.0,1
3299.0,1
3309.0,5
3319.0,3
3329.0,0
3339.0,1
3349.0,4
3359.0,2
3369.0,0
3379.0,1
3389.0,4
3399.0,1
3409.0,1
3419.0,2
3429.0,0
3439.0,1
3449.0,3
3459.0,1
3469.0,1
3479.0,0
3489.0,2
3499.0,0
3509.0,4
3519.0,5
3529.0,1
3539.0,1
3549.0,5
3559.0,1
3569.0,1
3579.0,3
3589.0,4
3599.0,0
3609.0,0
3619.0,1
3629.0,0
3639.0,2
3649.0,2
3659.0,1
3669.0,0
3679.0,0
3689.0,1
3699.0,2
3709.0,1
3719.0,5
3729.0,1
3739.0,1
3749.0,0
3759.0,2
3769.0,0
3779.0,1
3789.0,4
3799.0,3
3809.0,2
3819.0,3
3829.0,2
3839.0,1
3849.0,1
3859.0,2
3869.0,4
3879.0,3
3889.0,2
3899.0,0
3909.0,2
3919.0,2
3929.0,1
3939.0,2
3949.0,2
3959.0,1
3969.0,1
3979.0,4
3989.0,2
3999.0,3
4009.0,2
4019.0,3
4029.0,0
4039.0,2
4049.0,1
4059.0,3
4069.0,3
4079.0,1
4089.0,2
4099.0,0
4109.0,0
4119.0,1
4129.0,2
4139.0,0
4149.0,4
4159.0,1
4169.0,1
4179.0,0
4189.0,0
4199.0,4
4209.0,2
4219.0,1
4229.0,2
4239.0,3
4249.0,2
4259.0,4
4269.0,2
4279.0,3
4289.0,5
4299.0,5
4309.0,1
4319.0,3
4329.0,5
4339.0,3
4349.0,2
4359.0,2
4369.0,1
4379.0,1
4389.0,3
